epoch,train_mse,val_mse
1,0.13614611617437336,0.5403715993472591
2,0.030075224827847604,0.17008212553560642
3,0.024843104745680425,0.6232710591283498
4,0.022767191831755507,0.42873959931565603
5,0.02208487287958095,0.7142764258232661
6,0.022485700615194035,0.13436109286436296
7,0.02307084542184984,0.6674279437541527
8,0.02336268293007013,0.6755099814241504
9,0.0243713630318145,0.5033893925130747
10,0.024848551781761485,0.20839412539808214
11,0.026240694658530697,0.2889103075670972
12,0.026610092116809706,0.359803749712774
13,0.027599082671918376,0.29730082391751345
14,0.02901326513050209,0.34428540093899496
15,0.030374609751703273,0.4150770743893086
16,0.03230475715388129,0.07918096121062343
17,0.033330464853437984,0.22093780397138008
18,0.035245935886883385,0.2436069925795056
19,0.03794319759054138,0.30687638149774077
20,0.04028500543322587,0.6323825720773437
21,0.04315411855810022,0.3429026295448776
22,0.04494546739379631,0.3158029101736959
23,0.04904436990589661,0.3799601351096208
24,0.05465428330437701,0.4145548460225077
25,0.06057259180221731,0.4663470309627045
26,0.06916049638563936,0.5603880759180406
