epoch,train_mse,val_mse
1,0.0812310498843457,0.1920431756508232
2,0.014960494051143249,0.1737019901140352
3,0.013344419447024485,0.2563722809667334
4,0.013282588378757603,0.15928546932914922
5,0.013897229255494616,0.19079050719802715
6,0.014608580480933395,0.19303723208386775
7,0.015465916897833078,0.2440330768828412
8,0.016292698188766296,0.18517019739013907
9,0.01725032718431973,0.1571910535419109
10,0.018045682787578714,0.19215232317851613
11,0.019295766567177547,0.15579576050828833
12,0.020503718178034744,0.1653207557163596
13,0.021631919462505835,0.20961948606965683
14,0.023074538837832014,0.21641890349762652
15,0.025224859921752208,0.16913910096030924
16,0.026929847648446942,0.24850039919607114
17,0.028112932428772112,0.1543671481201857
18,0.03072481130689067,0.15522039640206042
19,0.033545330383389894,0.16421350807419577
20,0.036607430005161604,0.15322343427589474
21,0.04064516625876145,0.1691310855586225
22,0.04479942350311217,0.1734030787256258
23,0.05010179222337877,0.15225785068605194
24,0.05655402689967377,0.21493411855094727
25,0.06724283547557575,0.17664879847989548
26,0.07974840351829561,0.20550266370687384
27,0.09604251656751739,0.1998860583398452
28,0.11797546498108608,0.1645508261702552
29,0.13421833941652553,0.17338132065280504
30,0.17605839873561072,0.15845754903853004
