epoch,train_mse,val_mse
1,0.24427801777198882,1.158998059812127
2,0.08216903116762339,1.1915044696033472
3,0.06390007367343964,1.2161791908420847
4,0.052928790641891835,0.9799389824106418
5,0.04545656977256568,1.2025835721225346
6,0.035191555878501625,1.1058919836559566
7,0.02960198316859592,1.1364439951865029
8,0.026344755402275186,1.0399490604280108
9,0.025109436916100486,1.1491724723511585
10,0.02342485294221533,1.1338581726261037
11,0.021947503027768725,1.2021208990241679
12,0.020411248580325284,1.239120343096825
13,0.019848168812149104,1.3398501650793668
14,0.018370483386141025,1.2575586002208234
