epoch,train_mse,val_mse
1,0.17696146291888593,1.7004799976544733
2,0.015127637138754715,1.1061879948228832
3,0.011308408572528522,1.2887631424983719
4,0.010006505565166853,1.8600795536432975
5,0.009321298566601978,1.6816391971250657
6,0.009053778473677158,1.0092227189650091
7,0.009121255637112411,1.3539931069806477
8,0.008962670907362393,1.2803285238678799
9,0.008973523431715822,1.3899344428079012
10,0.009132094284741519,3.5620381835889288
11,0.009339252199400813,1.544216622861829
12,0.009234358682995752,1.4294580115714532
13,0.009447897931670779,1.1018797694035993
14,0.009830520610798062,2.218535079021966
15,0.010305216229196409,1.166361453597203
16,0.010389325249188777,1.965764728202639
